Date,Open,High,Low,Close,Volume,Adj Close
2017-02-07,258.190002,260.00,256.420013,257.480011,4240100,257.480011
2017-02-06,251.00,257.820007,250.630005,257.769989,3562500,257.769989
2017-02-03,251.910004,252.179993,249.679993,251.330002,2186700,251.330002
2017-02-02,248.339996,252.419998,247.710007,251.550003,2499800,251.550003
2017-02-01,253.050003,253.199997,249.050003,249.240005,3958800,249.240005
2017-01-31,249.240005,255.889999,247.699997,251.929993,4116100,251.929993
2017-01-30,252.529999,255.289993,247.100006,250.630005,3801100,250.630005
2017-01-27,251.380005,253.00,248.520004,252.949997,3166300,252.949997
2017-01-26,254.289993,255.740005,250.75,252.509995,3152100,252.509995
2017-01-25,257.309998,258.459991,251.800003,254.470001,5142600,254.470001
2017-01-24,250.00,254.800003,249.649994,254.610001,4965500,254.610001
2017-01-23,245.850006,250.889999,245.50,248.919998,6262900,248.919998
2017-01-20,245.460007,246.00,243.009995,244.729996,4204300,244.729996
2017-01-19,247.25,248.679993,240.75,243.759995,7732300,243.759995
2017-01-18,236.649994,239.710007,235.580002,238.360001,3769000,238.360001
2017-01-17,236.699997,239.960007,234.369995,235.580002,4617500,235.580002
2017-01-13,230.00,237.850006,229.589996,237.75,6093000,237.75
2017-01-12,229.059998,230.699997,225.580002,229.589996,3790200,229.589996
2017-01-11,229.070007,229.979996,226.679993,229.729996,3650800,229.729996
2017-01-10,232.00,232.00,226.889999,229.869995,3660000,229.869995
2017-01-09,228.970001,231.919998,228.00,231.279999,3957000,231.279999
2017-01-06,226.929993,230.309998,225.449997,229.009995,5527900,229.009995
2017-01-05,226.419998,227.479996,221.949997,226.75,5911700,226.75
2017-01-04,214.75,228.00,214.309998,226.990005,11213500,226.990005
2017-01-03,214.860001,220.330002,210.960007,216.990005,5923300,216.990005
2016-12-30,216.300003,217.50,211.679993,213.690002,4642600,213.690002
2016-12-29,218.559998,219.199997,214.119995,214.679993,4045000,214.679993
2016-12-28,221.529999,223.800003,217.199997,219.740005,3782500,219.740005
2016-12-27,214.880005,222.25,214.419998,219.529999,5915700,219.529999
2016-12-23,208.00,213.449997,207.710007,213.339996,4670500,213.339996
2016-12-22,208.220001,209.990005,206.50,208.449997,3111100,208.449997
2016-12-21,208.449997,212.229996,207.410004,207.699997,5207600,207.699997
2016-12-20,203.050003,209.00,202.50,208.789993,4689100,208.789993
2016-12-19,202.490005,204.449997,199.839996,202.729996,3488100,202.729996
2016-12-16,198.080002,202.589996,197.600006,202.490005,3796900,202.490005
2016-12-15,198.410004,200.740005,197.389999,197.580002,3219600,197.580002
2016-12-14,198.740005,203.00,196.759995,198.690002,4150900,198.690002
2016-12-13,193.179993,201.279999,193.00,198.149994,6823900,198.149994
2016-12-12,192.800003,194.419998,191.179993,192.429993,2438900,192.429993
2016-12-09,190.869995,193.839996,190.809998,192.179993,2722500,192.179993
2016-12-08,192.050003,192.50,189.539993,192.289993,3194100,192.289993
2016-12-07,186.149994,193.399994,185.00,193.149994,5461900,193.149994
2016-12-06,185.520004,186.580002,182.679993,185.850006,3391600,185.850006
2016-12-05,182.509995,188.889999,182.509995,186.800003,4072200,186.800003
2016-12-02,182.880005,184.880005,180.00,181.470001,4042300,181.470001
2016-12-01,188.25,188.529999,181.00,181.880005,5126400,181.880005
2016-11-30,191.00,191.889999,187.50,189.399994,3547100,189.399994
